accommodation_food_services,"Accommodation and Food Services",Services,72
agriculture_fishing,"Agriculture and Fishing",Goods,11
business_building_other_support_services,"Business, Building and Other Support Services",Services,56
construction,Construction,Goods,23
educational_services,"Educational Services",Services,61
finance_insurance_real_estate,"Finance, Insurance and Real Estate",Services,"52,53"
forestry_logging_support_activities,"Forestry, Logging and Support Activities",Goods,"115,113"
health_care_social_assistance,"Health Care and Social Assistance",Services,62
information_culture_recreation,"Information, Culture and Recreation",Services,"71,51"
manufacturing,Manufacturing,Goods,"31,32,33"
utilities,Utilities,Goods,22
mining_oil_gas_extraction,"Mining and Oil and Gas Extraction",Goods,21
other_private_services,"Repair, Personal and Non-Profit Services",Services,81
professional_scientific_technical_services,"Professional, Scientific and Technical Services",Services,54
public_administration,"Public Administration",Services,91
transportation_warehousing,"Transportation and Warehousing",Services,"48,49"
wholesale_trade,"Wholesale Trade",Services,"41,42,43,44,45"
retail_trade,"Retail Trade",Services,
